I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
150,150,150,150,150,150,150,150,150,150,150,150
338,338,338,338,338,338,338,338,338,338,338,338
789,789,789,789,789,789,789,789,789,789,789,789
1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087
1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331,1331
1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577
1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622,1622
1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662
1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734
2116,2116,2116,,2116,2116,2116,,2116,2116,2116,2116
,2100,,,,,,,,,,
,21600,,,,,,,,,,